com.samsung.health.skin_temperature,6302031,3
stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
34.399197,1183.5527,33.738327,2025-01-21 20:20:00.000,ab8c17fd-56e1-40c1-8be1-85be9739602d.binning_data.json,413,31301,32.21811,2025-01-22 03:36:59.845,2025-01-22 03:36:59.845,,35.054127,35.361263,33.495644,,34.399197,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-22 03:36:00.000,ab8c17fd-56e1-40c1-8be1-85be9739602d,
33.927258,1151.4497,33.770645,2025-01-22 20:41:00.000,3e620b11-5388-40d4-806a-dd3c8e531704.binning_data.json,367,31301,32.281986,2025-01-23 03:09:19.003,2025-01-23 03:09:19.003,,35.069485,35.416973,32.777283,,33.927258,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-23 03:04:00.000,3e620b11-5388-40d4-806a-dd3c8e531704,
33.818214,1144.5172,33.76398,2025-01-23 19:43:00.000,6f470e2b-c594-4151-97e0-7c15106bad6b.binning_data.json,142,31301,32.2667,2025-01-23 22:27:27.030,2025-01-23 22:27:27.030,,35.064003,35.64251,32.93354,,33.818214,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-23 22:27:00.000,6f470e2b-c594-4151-97e0-7c15106bad6b,
34.159096,1166.8438,33.76487,2025-01-23 22:51:00.000,1c99af3b-eee5-4bec-bcd2-1eda88bd412b.binning_data.json,4,31301,32.298454,2025-01-23 23:10:40.308,2025-01-23 23:10:40.308,,35.091553,34.160435,34.157658,,34.159096,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-23 23:10:00.000,1c99af3b-eee5-4bec-bcd2-1eda88bd412b,
33.64377,1131.92,33.765053,2025-01-23 23:24:00.000,781d10d0-9b72-48db-a670-8bd7cb18c307.binning_data.json,18,31301,32.36896,2025-01-23 23:56:26.679,2025-01-23 23:56:26.679,,35.04923,33.81342,33.43669,,33.64377,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-23 23:56:00.000,781d10d0-9b72-48db-a670-8bd7cb18c307,
32.28955,1042.6151,33.7648,2025-01-24 00:07:00.000,8ba427b2-4cb1-4cd2-a1f1-39b75bffdfb5.binning_data.json,1,31301,32.415382,2025-01-24 00:09:29.814,2025-01-24 00:09:29.814,,34.9955,32.28955,32.28955,,32.28955,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-24 00:09:00.000,8ba427b2-4cb1-4cd2-a1f1-39b75bffdfb5,
34.557564,1194.5894,33.76463,2025-01-24 17:09:00.000,0466c6ac-3cbf-42e6-8be4-cec78d85e293.binning_data.json,314,31301,32.41014,2025-01-24 22:44:03.296,2025-01-24 22:44:03.296,,34.901443,35.96064,33.634037,,34.557564,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-24 22:38:00.000,0466c6ac-3cbf-42e6-8be4-cec78d85e293,
34.386044,1182.8667,33.821995,2025-01-25 19:37:00.000,440e9caf-0771-4bb3-b2d1-3e917b39a517.binning_data.json,415,31301,32.54261,2025-01-26 03:12:38.755,2025-01-26 03:12:38.755,,35.038933,35.842796,33.243507,,34.386044,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-26 02:48:00.000,440e9caf-0771-4bb3-b2d1-3e917b39a517,
33.14904,1099.8656,33.833946,2025-01-26 21:07:00.000,4d5143e6-2eff-4434-a8fc-bffafb460e30.binning_data.json,390,31301,32.596985,2025-01-27 04:04:08.691,2025-01-27 04:04:08.691,,35.071747,34.52163,31.354881,,33.14904,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-27 03:57:00.000,4d5143e6-2eff-4434-a8fc-bffafb460e30,
34.008057,1156.7396,33.803974,2025-01-27 22:41:00.000,4c077c8f-d2b1-47cf-a6fb-85a5a2831ddc.binning_data.json,250,31301,32.54523,2025-01-28 03:09:06.951,2025-01-28 03:09:06.951,,35.048824,34.70365,32.645626,,34.008057,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 03:04:00.000,4c077c8f-d2b1-47cf-a6fb-85a5a2831ddc,
