com.samsung.shealth.exercise.program_schedule,6302031,3
duration,planned_date,state_update_time,week_info_id,custom,pace_info_id,day_info_id,update_time,create_time,state_updated_by,program_id,state,distance,deviceuuid,pkg_name,tracker_id,workout_day,program_info_id,datauuid
0,2025-02-11 22:30:00.000,2025-01-14 03:46:44.040,,576083db-5fd6-460e-b02e-c3328a27082d.custom.json,0,,2025-01-14 03:46:44.435,2025-01-14 03:46:44.435,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,576083db-5fd6-460e-b02e-c3328a27082d,
0,2025-01-28 22:30:00.000,2025-01-14 03:46:44.037,,7689b26c-947f-4116-aca8-f3cb1d8f4ac1.custom.json,0,,2025-01-14 03:46:44.376,2025-01-14 03:46:44.376,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,7689b26c-947f-4116-aca8-f3cb1d8f4ac1,
0,2025-02-01 22:30:00.000,2025-01-14 03:46:44.038,,9fb3a1e2-d32c-4037-a395-520b856e106c.custom.json,0,,2025-01-14 03:46:44.389,2025-01-14 03:46:44.389,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,9fb3a1e2-d32c-4037-a395-520b856e106c,
0,2025-02-06 22:30:00.000,2025-01-14 03:46:44.038,,4ca14b80-6052-45e1-b76a-6f9b46011c78.custom.json,0,,2025-01-14 03:46:44.406,2025-01-14 03:46:44.406,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,4ca14b80-6052-45e1-b76a-6f9b46011c78,
0,2025-02-04 22:30:00.000,2025-01-14 03:46:44.038,,344e4395-6f0b-41eb-8c0d-6bccab475063.custom.json,0,,2025-01-14 03:46:44.395,2025-01-14 03:46:44.395,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,344e4395-6f0b-41eb-8c0d-6bccab475063,
0,2025-02-13 22:30:00.000,2025-01-14 03:46:44.041,,b42032f2-0f7e-4711-889e-3159e375bec1.custom.json,0,,2025-01-14 03:46:44.463,2025-01-14 03:46:44.463,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,b42032f2-0f7e-4711-889e-3159e375bec1,
0,2025-02-15 22:30:00.000,2025-01-14 03:46:44.041,,38119d1c-e9a7-4bb3-b4d0-2dd1c9c0addb.custom.json,0,,2025-01-14 03:46:44.470,2025-01-14 03:46:44.470,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,38119d1c-e9a7-4bb3-b4d0-2dd1c9c0addb,
0,2025-02-27 22:30:00.000,2025-01-14 03:46:44.045,,4ed7d758-7bb2-4a88-8223-db4b97aed58a.custom.json,0,,2025-01-14 03:46:44.509,2025-01-14 03:46:44.509,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,4ed7d758-7bb2-4a88-8223-db4b97aed58a,
1860,2025-02-21 22:30:00.000,2025-01-14 03:46:44.045,,6a283f4b-12aa-46a8-af25-7a1072631c95.custom.json,110100515,,2025-01-14 03:46:44.498,2025-01-14 03:46:44.498,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,2864.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,6a283f4b-12aa-46a8-af25-7a1072631c95,
1680,2025-02-10 22:30:00.000,2025-01-14 03:46:44.040,,3523ea39-cc96-4a4a-9d3a-17bcd842938d.custom.json,110100410,,2025-01-14 03:46:44.433,2025-01-14 03:46:44.433,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,2350.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,3523ea39-cc96-4a4a-9d3a-17bcd842938d,
0,2025-02-18 22:30:00.000,2025-01-14 03:46:44.044,,dc254a3a-5cf9-4f0e-8819-516594bc04d8.custom.json,0,,2025-01-14 03:46:44.485,2025-01-14 03:46:44.485,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,dc254a3a-5cf9-4f0e-8819-516594bc04d8,
1860,2025-02-26 22:30:00.000,2025-02-27 18:30:53.487,,df9160fc-66ca-4d69-b8a6-89c7d8d46cf8.custom.json,110100617,,2025-02-28 17:31:05.381,2025-01-14 03:46:44.509,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,300,2996.0,EmOHuC/o0o,com.sec.android.app.shealth,49b5aa7a-fe68-42ba-ad41-79af29ed4f2c,1,program.sport_couch_to_5k_ex_v010,df9160fc-66ca-4d69-b8a6-89c7d8d46cf8,
