com.samsung.shealth.badge,6302031,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2023-12-09 03:01:50.388,2003,,1,,2023-12-09 04:48:24.651,2023-12-09 04:48:24.651,,exercise_goal_first_achieve,,,UTC+0530,,Zi2tKAbhgt,com.sec.android.app.shealth,44470830-81df-4a35-bc9b-1b553f5db098,tracker.exercise,2023-12-09 04:48:24.380,75d5601f-0cc4-490b-b6ea-4e5c51e82b43,
,2024-01-14 16:42:20.755,11007,,1,,2024-01-14 17:03:27.190,2024-01-14 16:59:37.406,,cycling_goal_first_cycling,,1,UTC+0530,,Zi2tKAbhgt,com.sec.android.app.shealth,5ddec534-e878-495c-994f-b85c29b42b4f,tracker.exercise,2024-01-14 16:59:37.154,246a200a-45fe-4940-a49e-7b2a42e23a3e,
,2024-02-23 04:54:22.512,15003,,1,,2024-02-23 05:19:22.033,2024-02-23 05:19:22.033,,exercise_goal_first_achieve,,,UTC+0530,,/l7YF9Xtrq,com.sec.android.app.shealth,cf1f6fcd-26d7-4004-a462-6fee4e2728b0,tracker.exercise,2024-02-23 05:19:21.604,3434f708-0e9c-4f68-8ac6-58ba90737e1d,
,2024-07-12 14:56:12.707,11007,,1,,2024-07-12 18:00:57.926,2024-07-12 16:23:10.333,,cycling_goal_20K,,1,UTC+0530,,/l7YF9Xtrq,com.sec.android.app.shealth,842fbff0-5ea1-45bb-991e-3956c6f19ca1,tracker.exercise,2024-07-12 16:23:09.191,19bde179-022c-419a-8208-856e5ea484be,
1,2024-07-19 18:30:00.000,,,1,,2024-07-20 04:16:23.077,2024-07-20 04:16:23.077,,sleep_good_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-07-20 18:29:59.999,187120f1-1e72-417f-919d-7c323dc19ed7,
1,2024-08-04 18:30:00.000,,,1,,2024-08-05 03:07:56.794,2024-08-05 03:07:56.794,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-08-05 18:29:59.999,72cca591-d581-4871-89e1-368ea9a273b1,
,2024-08-10 13:00:02.844,10007,,1,,2024-08-10 13:34:52.976,2024-08-10 13:34:52.976,,exercise_goal_first_achieve,,,UTC+0530,,/l7YF9Xtrq,com.sec.android.app.shealth,1dabbec0-4e18-4001-8da5-afcf6c3e9aad,tracker.exercise,2024-08-10 13:34:51.867,c34334a0-c9c3-4148-a272-3d78dc06d360,
1,2024-08-26 18:30:00.000,,,1,,2024-08-27 07:22:46.743,2024-08-27 07:22:46.743,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-08-27 18:29:59.999,ff427ec8-1281-42d1-97bc-8c4a01917dc4,
,2024-09-17 08:58:48.919,11002,,1,,2024-09-17 09:15:33.534,2024-09-17 09:13:34.168,,exercise_goal_first_achieve,,1,UTC+0530,,/l7YF9Xtrq,com.sec.android.app.shealth,1a8f374d-5ae0-4ac7-8cc1-f4e89bcf822b,tracker.exercise,2024-09-17 09:13:33.187,52f0e49f-7c77-44d2-87da-76f5c7c3154a,
1,2024-09-18 18:30:00.000,,,1,,2024-09-19 03:35:09.878,2024-09-19 03:35:09.878,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-09-19 18:29:59.999,a8f68d4a-d408-4694-aeb9-f11b2f20d570,
1,2024-09-27 18:30:00.000,,,1,,2024-09-28 08:20:33.548,2024-09-28 08:20:33.548,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-09-28 18:29:59.999,cf8f2cd5-acc5-41be-aa1c-90e60a968e88,
,2024-10-16 14:37:19.077,10019,,1,,2024-10-16 15:27:11.052,2024-10-16 14:54:22.131,,exercise_goal_first_achieve,,1,UTC+0530,,/l7YF9Xtrq,com.sec.android.app.shealth,82459427-55a1-4291-adae-11fd7d9e78b2,tracker.exercise,2024-10-16 14:54:21.469,4a7e2e45-abe3-4068-90d3-6b5dcc21f014,
1,2024-10-18 18:30:00.000,,,1,,2024-10-19 06:13:47.566,2024-10-19 06:13:47.566,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-10-19 18:29:59.999,57f9bf59-1089-4dcb-8313-35e053c77e4d,
,2024-10-21 18:00:57.081,10004,,1,,2024-10-21 18:04:15.258,2024-10-21 18:04:15.258,,exercise_goal_first_achieve,,,UTC+0530,,/l7YF9Xtrq,com.sec.android.app.shealth,486aeba6-295a-4985-a73e-f12d69ac9441,tracker.exercise,2024-10-21 18:04:14.249,1a6a82d9-88de-496b-b0d8-0ebd897027d9,
1,2024-11-07 18:30:00.000,,,1,,2024-11-08 05:05:32.718,2024-11-08 05:05:32.718,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-11-08 18:29:59.999,db81633b-e144-4890-8969-db9f1bdcafa9,
1,2024-11-13 18:30:00.000,,,1,,2024-11-14 02:04:29.258,2024-11-14 02:04:29.258,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-11-14 18:29:59.999,efc45ac4-1097-4e70-a546-df9c98c362f9,
1,2024-11-16 18:30:00.000,,,1,,2024-11-17 04:53:12.474,2024-11-17 04:53:12.474,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-11-17 18:29:59.999,37d16b99-2b3e-4136-ae12-c9046cbf4317,
1,2024-11-17 18:30:00.000,,,1,,2024-11-18 02:00:25.391,2024-11-18 02:00:25.391,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-11-18 18:29:59.999,f545a1f8-63f7-4d9f-9e6a-3c4e5a5c3292,
7,2024-11-12 00:00:00.000,,,1,,2024-11-18 18:30:07.542,2024-11-12 18:30:00.480,,nutrition_7_days_streak,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,goal.nutrition,2024-11-18 23:59:59.999,89b5b0fd-74a1-4c21-9385-51617b1c860c,
1,2024-11-22 18:30:00.000,,,1,,2024-11-23 03:58:55.967,2024-11-23 03:58:55.967,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-11-23 18:29:59.999,01658f65-dd95-4219-89f8-36516ed91825,
1,2024-11-27 18:30:00.000,,,1,,2024-11-28 02:12:35.446,2024-11-28 02:12:35.446,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-11-28 18:29:59.999,e7c5edd0-7b86-4022-b329-e6c0cabf646a,
1,2024-11-28 18:30:00.000,,,1,,2024-11-29 03:42:40.656,2024-11-29 03:42:40.656,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-11-29 18:29:59.999,843e19d9-a1cc-44fa-9412-f3b2ad9fc237,
,2024-11-29 07:10:49.535,10025,,1,,2024-11-29 07:24:11.727,2024-11-29 07:24:11.727,,exercise_goal_first_achieve,,,UTC+0530,,tFCCLQvz7k,com.sec.android.app.shealth,c56f7748-559a-40cb-bfaa-20ac0c4562c5,tracker.exercise,2024-11-29 07:24:11.217,d5638962-f603-4704-ac0e-ef8816ab420d,
