com.samsung.shealth.exercise.weather,6302031,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,,2021-11-04 03:42:42.983,10.019138,,90.E,Fog,,1,TWC,2021-11-04 03:56:31.648,2021-11-04 03:56:31.648,1,76.374626,27.0,90,UTC+0530,fPb7+g3n+2,ee0e07c1-dd49-459f-8918-6e28cb6e57e3,com.sec.android.app.shealth,km/h,,5.0,4,27b06212-05bb-48a0-8301-792d97654c26,
,,2021-11-04 14:00:49.197,10.006565,,180.S,Fog,,1,TWC,2021-11-04 14:19:16.295,2021-11-04 14:19:16.295,1,76.374275,26.0,91,UTC+0530,fPb7+g3n+2,e55bb87e-e527-41b9-af20-a1dbb306485b,com.sec.android.app.shealth,km/h,,3.0,4,e28188b6-c260-4b80-8d50-1d64fcf65c9b,
,,2021-11-05 03:11:42.159,10.020831,,100.E,Fog,,1,TWC,2021-11-05 03:34:30.964,2021-11-05 03:34:30.964,1,76.37485,26.0,88,UTC+0530,fPb7+g3n+2,a30f4a98-9074-4a5f-aa82-71b465a494a5,com.sec.android.app.shealth,km/h,,10.0,4,d0452fd8-14c6-4945-bc9c-1d78769f829c,
,,2021-11-24 13:17:28.540,13.0197115,,40.NE,Haze,,1,TWC,2021-11-24 13:25:14.699,2021-11-24 13:25:14.699,1,80.20655,29.0,78,UTC+0530,fPb7+g3n+2,e0ee94da-97e5-4490-9bdf-62284a05fdbc,com.sec.android.app.shealth,km/h,,10.0,4,5cc3a69d-ed43-41c3-b28a-e74fb607a897,
,,2021-11-30 16:10:20.554,13.01738,,80.E,Partly Cloudy,,1,TWC,2021-11-30 16:28:28.698,2021-11-30 16:28:28.698,1,80.17491,27.0,93,UTC+0530,WDnH3DyUJX,3093e58a-aed3-4f5a-8638-abd4b3c688c1,com.sec.android.app.shealth,km/h,,13.0,19,b38ee469-804f-41a0-9f34-45c0d12ddc92,
,,2021-12-14 15:26:17.743,13.019472,,60.ENE,Partly Cloudy,,1,TWC,2021-12-14 17:06:54.046,2021-12-14 17:06:54.046,1,80.17916,27.0,75,UTC+0530,WDnH3DyUJX,9a62bdfc-86f6-4f44-8548-be3779a4aa63,com.sec.android.app.shealth,km/h,,13.0,19,0c7665bd-d3b2-4d94-96ae-c666730c3a9e,
,,2021-12-21 17:27:40.339,13.018782,,60.ENE,Fog,,1,TWC,2021-12-21 17:47:58.921,2021-12-21 17:47:58.921,1,80.17816,24.0,84,UTC+0530,WDnH3DyUJX,e9c2dbfe-f312-40ae-a083-7ce06db6606c,com.sec.android.app.shealth,km/h,,3.0,4,9d89fd67-74ea-497f-8c65-faf4e88ac4ba,
,,2022-01-09 15:31:09.416,13.017773,,70.ENE,Partly Cloudy,,1,TWC,2022-01-09 16:05:10.376,2022-01-09 16:05:10.376,1,80.177826,27.0,89,UTC+0530,WDnH3DyUJX,1faa23e5-95d8-4634-b729-0d221fd528f0,com.sec.android.app.shealth,km/h,,5.0,19,867eddda-39ac-4c18-b600-fd8f3b3a7e04,
,,2022-01-09 18:49:07.670,13.020322,,310.NW,Fair,,1,TWC,2022-01-09 19:46:40.003,2022-01-09 19:46:40.003,1,80.18111,26.0,94,UTC+0530,WDnH3DyUJX,ef1b9868-e979-4812-aa6f-b64ee75c3b3c,com.sec.android.app.shealth,km/h,,3.0,18,2cc6a5f3-919b-4982-95c2-4d4bdd36ffef,
,,2022-01-14 16:15:08.609,13.019426,,120.ESE,Partly Cloudy,,1,TWC,2022-01-14 17:04:24.524,2022-01-14 17:04:24.524,1,80.17885,27.0,90,UTC+0530,WDnH3DyUJX,ee229b41-f5af-4d00-8265-28923fb663cc,com.sec.android.app.shealth,km/h,,3.0,19,12bc1d76-ff07-4898-a5f3-404fc50f77b3,
