com.samsung.health.hrv,6302031,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2025-01-09 21:30:00.000,,986afa11-3be6-47e9-8247-df8acac32bf3.binning_data.json,62800471,2025-01-09 22:15:00.362,2025-01-09 22:15:00.362,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-09 22:15:00.333,986afa11-3be6-47e9-8247-df8acac32bf3,
62800471,2025-01-09 22:30:00.000,,636e1459-5e13-4134-913d-29789cdae268.binning_data.json,62800471,2025-01-09 23:15:00.396,2025-01-09 23:15:00.396,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-09 23:15:00.361,636e1459-5e13-4134-913d-29789cdae268,
62800471,2025-01-09 23:30:00.000,,723fcfc6-a393-4590-9e44-da8800e311ab.binning_data.json,62800471,2025-01-10 00:07:52.494,2025-01-10 00:07:52.494,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-10 00:07:52.446,723fcfc6-a393-4590-9e44-da8800e311ab,
62800471,2025-01-10 00:30:00.000,,6e5b33c4-2096-444e-97a3-091b0d52f49d.binning_data.json,62800471,2025-01-10 01:15:03.043,2025-01-10 01:15:03.043,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-10 01:15:00.458,6e5b33c4-2096-444e-97a3-091b0d52f49d,
62800471,2025-01-10 01:30:00.000,,2b5bd4bd-c4c8-49f8-bd17-20fa003dfb29.binning_data.json,62800471,2025-01-10 01:42:42.306,2025-01-10 01:42:42.306,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-10 01:42:41.963,2b5bd4bd-c4c8-49f8-bd17-20fa003dfb29,
62800471,2025-01-11 17:30:00.000,,8559069d-dac0-4ac9-9e58-0aaa3b088f5b.binning_data.json,62800471,2025-01-11 18:20:30.169,2025-01-11 18:20:30.169,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-11 18:19:50.273,8559069d-dac0-4ac9-9e58-0aaa3b088f5b,
62800471,2025-01-11 18:30:00.000,,5d10735f-50fe-4f60-99ed-276335aab777.binning_data.json,62800471,2025-01-11 19:07:03.431,2025-01-11 19:07:03.431,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-11 19:07:03.397,5d10735f-50fe-4f60-99ed-276335aab777,
62800471,2025-01-11 19:30:00.000,,a65c76e5-3462-41a5-a8fd-0a23e242275a.binning_data.json,62800471,2025-01-11 20:15:30.164,2025-01-11 20:15:30.164,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-11 20:15:30.129,a65c76e5-3462-41a5-a8fd-0a23e242275a,
62800471,2025-01-11 20:30:00.000,,960386fa-d0cb-46d9-800c-0c9d63ecc140.binning_data.json,62800471,2025-01-11 21:15:50.210,2025-01-11 21:15:50.210,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-11 21:15:50.176,960386fa-d0cb-46d9-800c-0c9d63ecc140,
62800471,2025-01-11 21:30:00.000,,9b72b226-675e-455c-a9bd-90932c60679d.binning_data.json,62800471,2025-01-11 22:10:17.486,2025-01-11 22:10:17.486,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-11 22:10:17.456,9b72b226-675e-455c-a9bd-90932c60679d,
62800471,2025-01-11 22:30:00.000,,50f8f3b7-7d5d-47cc-bd23-e53a368d6338.binning_data.json,62800471,2025-01-11 23:16:32.196,2025-01-11 23:16:32.196,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-11 23:16:32.155,50f8f3b7-7d5d-47cc-bd23-e53a368d6338,
62800471,2025-01-11 23:30:00.000,,9d57bd46-81a6-4c9f-b688-a0ac851bb451.binning_data.json,62800471,2025-01-12 00:15:02.181,2025-01-12 00:15:02.181,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-12 00:15:02.157,9d57bd46-81a6-4c9f-b688-a0ac851bb451,
62800471,2025-01-12 00:30:00.000,,e238305d-4dd4-4e31-bf19-1df37d25ceab.binning_data.json,62800471,2025-01-12 01:07:15.322,2025-01-12 01:07:15.322,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-12 01:07:13.566,e238305d-4dd4-4e31-bf19-1df37d25ceab,
62800471,2025-01-12 19:30:00.000,,3f121efd-b0de-4e67-b9ae-a3e79f535200.binning_data.json,62800471,2025-01-12 20:09:40.473,2025-01-12 20:09:40.473,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-12 20:09:40.428,3f121efd-b0de-4e67-b9ae-a3e79f535200,
62800471,2025-01-12 20:30:00.000,,7238a3c4-8b6c-4923-87ff-8714a50e31fc.binning_data.json,62800471,2025-01-12 21:18:17.214,2025-01-12 21:18:17.214,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-12 21:18:17.182,7238a3c4-8b6c-4923-87ff-8714a50e31fc,
62800471,2025-01-12 21:30:00.000,,0ef9bc26-de1e-4f4d-aded-012f78f870a8.binning_data.json,62800471,2025-01-12 22:15:17.186,2025-01-12 22:15:17.186,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-12 22:15:17.141,0ef9bc26-de1e-4f4d-aded-012f78f870a8,
62800471,2025-01-12 22:30:00.000,,034dc3ed-ded8-4e12-9b74-864a52643356.binning_data.json,62800471,2025-01-12 23:06:00.380,2025-01-12 23:06:00.380,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-12 23:06:00.347,034dc3ed-ded8-4e12-9b74-864a52643356,
62800471,2025-01-12 23:30:00.000,,4d146a54-50ab-4e76-ae04-76f7c9cda9ff.binning_data.json,62800471,2025-01-13 00:15:59.195,2025-01-13 00:15:59.195,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-13 00:15:59.161,4d146a54-50ab-4e76-ae04-76f7c9cda9ff,
62800471,2025-01-13 00:30:00.000,,eb41b3ec-81ca-483c-a259-fb5fd9286bc3.binning_data.json,62800471,2025-01-13 01:15:00.765,2025-01-13 01:15:00.765,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-13 01:15:00.734,eb41b3ec-81ca-483c-a259-fb5fd9286bc3,
62800471,2025-01-13 01:30:00.000,,e780e3b9-65de-435f-90b0-16f83e648683.binning_data.json,62800471,2025-01-13 01:49:35.696,2025-01-13 01:49:35.696,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-13 01:49:35.125,e780e3b9-65de-435f-90b0-16f83e648683,
62800471,2025-01-13 18:30:00.000,,957ffbde-f17e-47cc-83a7-598b5a1826a0.binning_data.json,62800471,2025-01-13 19:15:56.019,2025-01-13 19:15:56.019,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-13 19:14:59.439,957ffbde-f17e-47cc-83a7-598b5a1826a0,
62800471,2025-01-13 19:30:00.000,,ecb1dfe3-2c2b-4f87-96aa-550a56b141ac.binning_data.json,62800471,2025-01-13 20:08:35.617,2025-01-13 20:08:35.617,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-13 20:08:35.578,ecb1dfe3-2c2b-4f87-96aa-550a56b141ac,
62800471,2025-01-13 20:30:00.000,,4760bde0-9c11-40e0-8e98-0a8b07e16a48.binning_data.json,62800471,2025-01-13 21:08:12.465,2025-01-13 21:08:12.465,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-13 21:08:12.430,4760bde0-9c11-40e0-8e98-0a8b07e16a48,
62800471,2025-01-13 21:30:00.000,,17fcecd8-f6e8-4401-a856-ffaa839ffccf.binning_data.json,62800471,2025-01-13 22:14:59.355,2025-01-13 22:14:59.355,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-13 22:14:59.316,17fcecd8-f6e8-4401-a856-ffaa839ffccf,
62800471,2025-01-13 22:30:00.000,,815b334b-e92d-4696-a310-f2365ebea0fb.binning_data.json,62800471,2025-01-13 23:17:19.230,2025-01-13 23:17:19.230,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-13 23:17:19.193,815b334b-e92d-4696-a310-f2365ebea0fb,
62800471,2025-01-13 23:30:00.000,,3b39e066-5b4f-42ee-b20b-07985031175b.binning_data.json,62800471,2025-01-14 00:05:24.632,2025-01-14 00:05:24.632,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-14 00:05:24.598,3b39e066-5b4f-42ee-b20b-07985031175b,
62800471,2025-01-14 00:30:00.000,,9ea5ae44-5c3e-4772-9490-17fdf244a76d.binning_data.json,62800471,2025-01-14 01:18:54.295,2025-01-14 01:14:54.699,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-14 01:18:50.066,9ea5ae44-5c3e-4772-9490-17fdf244a76d,
62800471,2025-01-14 20:30:00.000,,ea4d20d4-3d6f-4ec9-8a2a-796d9a834983.binning_data.json,62800471,2025-01-14 21:16:18.172,2025-01-14 21:16:18.172,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-14 21:16:18.152,ea4d20d4-3d6f-4ec9-8a2a-796d9a834983,
62800471,2025-01-14 21:30:00.000,,5e4422aa-fbf0-41fc-824c-0976af5baa67.binning_data.json,62800471,2025-01-14 22:15:00.571,2025-01-14 22:15:00.571,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-14 22:15:00.538,5e4422aa-fbf0-41fc-824c-0976af5baa67,
62800471,2025-01-14 22:30:00.000,,81266e65-0534-449d-9d67-5063468b6001.binning_data.json,62800471,2025-01-14 23:07:22.055,2025-01-14 23:07:22.055,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-14 23:07:22.006,81266e65-0534-449d-9d67-5063468b6001,
62800471,2025-01-14 23:30:00.000,,b2b15f6d-4a37-4a59-9457-fa57cc66b118.binning_data.json,62800471,2025-01-15 00:16:01.195,2025-01-15 00:16:01.195,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 00:16:01.160,b2b15f6d-4a37-4a59-9457-fa57cc66b118,
62800471,2025-01-15 00:30:00.000,,29eab9c9-b97e-4f07-adf6-e8b5ec62a9eb.binning_data.json,62800471,2025-01-15 01:16:20.199,2025-01-15 01:16:20.199,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 01:16:20.091,29eab9c9-b97e-4f07-adf6-e8b5ec62a9eb,
62800471,2025-01-15 01:30:00.000,,df71db6c-7109-4369-a00a-199124bb5d79.binning_data.json,62800471,2025-01-15 02:05:09.052,2025-01-15 02:05:09.052,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 02:05:09.029,df71db6c-7109-4369-a00a-199124bb5d79,
62800471,2025-01-15 02:30:00.000,,29f5f3c0-d2ce-41ec-86cd-78d6c9aca7b4.binning_data.json,62800471,2025-01-15 03:15:13.200,2025-01-15 03:15:13.200,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 03:15:13.161,29f5f3c0-d2ce-41ec-86cd-78d6c9aca7b4,
62800471,2025-01-15 03:30:00.000,,f8130ad0-5efa-4318-a89a-db7aa9f89519.binning_data.json,62800471,2025-01-15 04:12:51.940,2025-01-15 04:12:51.355,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 04:12:51.424,f8130ad0-5efa-4318-a89a-db7aa9f89519,
62800471,2025-01-15 19:30:00.000,,d8ae4454-4e78-4273-9a69-b134a7ae702b.binning_data.json,62800471,2025-01-15 20:15:00.459,2025-01-15 20:15:00.459,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 20:15:00.410,d8ae4454-4e78-4273-9a69-b134a7ae702b,
62800471,2025-01-15 20:30:00.000,,ddb9fc5c-91b3-4724-b647-d7ba4f31bb4e.binning_data.json,62800471,2025-01-15 21:07:09.466,2025-01-15 21:07:09.466,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 21:07:09.443,ddb9fc5c-91b3-4724-b647-d7ba4f31bb4e,
