com.samsung.health.food_intake,6302031,6
create_sh_ver,start_time,amount,custom,modify_sh_ver,update_time,create_time,meal_type,client_data_id,name,unit,client_data_ver,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
62900750,2025-01-30 02:30:00.000,500.0,,62900750,2025-01-30 19:04:44.577,2025-01-30 19:04:44.577,100001,,Slim Skimmed Milk(Nandini),120005,,175.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,017d2ec7-12fd-4c3c-aa7a-3e209c4b0bf5,e8733fec-8c8b-4a2f-9575-a9423da8d810,
62900750,2025-01-30 02:30:00.000,1.0,,62900750,2025-01-30 19:04:44.577,2025-01-30 19:04:44.577,100001,,ON Protein Powder,120001,,117.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,d2151722-2bfc-432d-8f0e-617cff5cfc71,bb5d3455-94d7-42f4-b0d3-a0d139a8f7fe,
62900750,2025-01-30 12:30:00.000,150.0,,62900750,2025-01-30 19:05:55.261,2025-01-30 19:05:55.261,100003,,Prawns,120001,,157.5,UTC+0530,QXcEZDPJKk,,com.sec.android.app.shealth,5e9b15fd-c6d0-4c43-817e-99c5d5f47ab7,d8d38766-98f4-4b20-9dd0-ebaf6a93cc92,
,2023-06-20 02:30:00.000,1.0,,,2023-06-20 17:41:28.659,2023-06-20 17:41:28.659,100001,,"Chickpeas (Garbanzo Beans, Bengal Gram) (Mature Seeds, Canned)",120001,,286.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,e01a29fe-824b-4363-b4e2-d079424d5748,3b9f1e82-5b71-40ec-8e9f-2d8c0b0c2ee7,
,2023-06-20 02:30:00.000,1.0,,,2023-06-20 17:41:28.659,2023-06-20 17:41:28.659,100001,,Chemba Puttu(Double Horse),120001,,156.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,1d11c4f8-beeb-4d02-909b-2aae927daf82,14b6cdc7-a4ae-4202-bbff-143360c53a1f,
,2023-06-20 06:30:00.000,1.0,,,2023-06-20 17:43:03.007,2023-06-20 17:43:03.007,100002,,"Green Peas (with Salt, Drained, Cooked, Boiled)",120001,,134.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,ccbb60e5-59f1-406e-921c-d81f73e24c6d,fc93151d-93a2-4a4f-b4d5-a3aadc96d460,
,2023-06-20 06:30:00.000,2.0,,,2023-06-20 17:43:03.007,2023-06-20 17:43:03.007,100002,,Chapati(Aashirvaad),120001,,170.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,7caad99c-1d73-4339-9a94-222821eff63d,5a43fec6-fe4b-4e6d-ab47-66ecfc215ce9,
62701610,2024-08-05 17:51:41.368,1.0,,62701610,2024-08-05 17:54:23.124,2024-08-05 17:54:23.124,100001,,Idli,120001,,232.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,5c8fb067-7f58-420e-8fda-1db3e7fc32b4,0d233a25-2001-40b5-b073-ff4978704342,
62701610,2024-08-05 17:51:41.368,1.0,,62701610,2024-08-05 17:54:23.124,2024-08-05 17:54:23.124,100001,,Vada(Saravana Bhavan),120001,,190.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,e3d8a3f2-1c0f-4f7a-83c8-1397f58a29ad,fbeac5f4-38d2-47da-8663-a1fb69d814dd,
62701610,2024-08-05 17:54:30.424,3.0,,62701610,2024-08-05 17:56:14.380,2024-08-05 17:56:14.380,100002,,Chapati(Aashirvaad),120001,,255.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,bd42c694-d238-4749-9632-81b083431a96,5a43fec6-fe4b-4e6d-ab47-66ecfc215ce9,
62701610,2024-08-05 17:54:30.424,1.0,,62701610,2024-08-05 17:56:14.380,2024-08-05 17:56:14.380,100002,,Cooked Egg,120001,,62.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,b8b5fe4b-7073-4878-97e5-8d1f47507a19,e2c9b4d6-af02-4be7-b573-1bed5f5c368a,
62701610,2024-08-05 17:31:34.162,200.0,,62701610,2024-08-05 17:58:50.735,2024-08-05 17:58:50.735,100003,,Chicken Thigh,120002,,490.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,43f09fd6-c3c2-42e7-8400-6fe68801ef7d,6ef7ef4c-2442-48ca-a18b-465b58c17385,
62701610,2024-08-05 17:31:34.162,1.0,,62701610,2024-08-05 17:58:50.735,2024-08-05 17:58:50.735,100003,,Choco Pie(Lotte),120001,,108.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,23e5dcce-dca4-48b9-ad72-eb6b5cb72e35,7aaa7576-256b-4e1d-8441-de4f6b2e9c91,
62701610,2024-08-05 17:31:34.162,5.0,,62701610,2024-08-05 17:59:29.608,2024-08-05 17:59:29.608,100003,,Slim Skimmed Milk(Nandini),120001,,175.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,a36716ce-d681-42b6-af3b-6ffb0ab02729,e8733fec-8c8b-4a2f-9575-a9423da8d810,
62701610,2024-08-05 17:59:47.771,1.0,,62701610,2024-08-05 18:00:08.144,2024-08-05 18:00:08.144,100004,,Coffee with Milk,120001,,6.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,302f4618-b2c5-4f69-9e27-2855925f813e,824d9232-743e-4e68-a44a-9a556eb815eb,
62701610,2024-08-05 18:00:13.583,1.0,,62701610,2024-08-05 18:00:23.728,2024-08-05 18:00:23.728,100006,,Coffee with Milk,120001,,6.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,bfc52e84-9794-4283-a4f8-50eff79d99d7,824d9232-743e-4e68-a44a-9a556eb815eb,
62701610,2024-08-05 17:31:34.162,2.0,,62701610,2024-08-05 18:01:02.373,2024-08-05 18:01:02.373,100003,,Egg White,120001,,34.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,1fa9da63-9fcf-439b-97ae-c72e21420a2f,49569d06-432e-46cb-81ac-fe16021d35ad,
62701610,2024-08-05 17:31:34.162,1.0,,62701610,2024-08-05 18:05:00.821,2024-08-05 18:05:00.821,100003,,ON Protein Powder,120001,,117.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,b87a7702-071a-4204-bab7-1a8b6966b36d,bb5d3455-94d7-42f4-b0d3-a0d139a8f7fe,
62701610,2024-08-05 18:00:13.583,1.0,,62701610,2024-08-06 03:37:27.595,2024-08-06 03:37:27.595,100006,,Max Protein Ultimate(Rite Bite),120001,,336.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,751e0439-8c13-433d-8c14-4de5ce1d3e6f,d4c31114-2be3-4c11-b6e8-953d6a553751,
62701610,2024-08-05 17:54:30.424,3.0,,62701610,2024-08-06 03:39:02.999,2024-08-06 03:39:02.999,100002,,Veg Manchurian Masala(Ching's Secret),120001,,180.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,eda8ab94-e431-4251-b0ab-70acf10f1f89,01e32498-bd84-47d3-8ab1-b83357047847,
62701610,2024-08-06 03:40:40.540,100.0,,62701610,2024-08-06 03:48:16.876,2024-08-06 03:48:16.876,100001,,Banana,120002,,88.98305,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,30ae8dc8-e819-452f-9e1e-e0d081096b10,9a1d5c4a-e019-4f2f-8767-aa944edaff34,
62701610,2024-08-06 03:40:40.540,180.1,,62701610,2024-08-06 03:48:16.876,2024-08-06 03:48:16.876,100001,,Apple,120002,,93.96522,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,3d6c0e27-53ae-4a9f-8d7b-273c8e4ae8f2,1eca1fc4-89d9-42e9-8df5-a1e27afd7c3d,
62701610,2024-08-06 03:40:40.540,80.0,,62701610,2024-08-06 03:48:16.876,2024-08-06 03:48:16.876,100001,,Carrots,120002,,32.786884,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,f1f3578d-93f6-47b8-94d3-7c76aca36d80,2fd6390e-f4fd-4e49-b1cb-be5a2032c086,
62701610,2024-08-05 17:31:34.162,100.0,,62701610,2024-08-06 03:49:32.724,2024-08-06 03:49:32.724,100003,,Banana,120002,,88.98305,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,8d9af836-314c-4ccd-9fdd-af687d327fcc,9a1d5c4a-e019-4f2f-8767-aa944edaff34,
62701610,2024-08-06 07:58:26.646,3.0,,62701610,2024-08-06 09:38:26.624,2024-08-06 09:38:26.624,100002,,Chapati(Aashirvaad),120001,,255.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,93644796-c2bc-4544-9557-da47a3f6e37a,5a43fec6-fe4b-4e6d-ab47-66ecfc215ce9,
62701610,2024-08-06 07:58:26.646,1.0,,62701610,2024-08-06 09:38:26.624,2024-08-06 09:38:26.624,100002,,Fried Battered Fish,120001,,267.0,UTC+0530,EmOHuC/o0o,,com.sec.android.app.shealth,77767dd2-a4f9-49c8-9cd2-4056915879bf,d4f4d7b1-acc5-482c-88d1-2ad33a7fc622,
