com.samsung.health.respiratory_rate,6302031,2
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,average,lower_limit,update_time,create_time,client_data_id,upper_limit,client_data_ver,is_outlier,pplib_version,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62900571,2025-01-22 20:41:00.000,,ccc81df0-19f1-427d-9636-17a065afcf00.binning_data.json,62900571,14.567712,13.708484,2025-01-23 03:09:18.106,2025-01-23 03:09:18.106,,14.094569,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-23 03:04:00.000,ccc81df0-19f1-427d-9636-17a065afcf00,
62900571,2025-01-23 19:43:00.000,,edabcbca-00a2-4f3a-babf-04ce8ff1deac.binning_data.json,62900571,14.78515,13.708484,2025-01-23 22:27:27.941,2025-01-23 22:27:27.941,,14.094569,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-23 22:27:00.000,edabcbca-00a2-4f3a-babf-04ce8ff1deac,
62900571,2025-01-24 17:09:00.000,,39c1ca8c-7a1c-4e5e-880d-3af44415ee65.binning_data.json,62900571,14.090649,13.708484,2025-01-24 22:44:02.677,2025-01-24 22:44:02.677,,14.094569,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-24 22:38:00.000,39c1ca8c-7a1c-4e5e-880d-3af44415ee65,
62900571,2025-01-25 19:37:00.000,,26adc8a0-a869-4e85-a56e-0b42090abfaa.binning_data.json,62900571,13.645829,13.708484,2025-01-26 03:12:37.701,2025-01-26 03:12:37.701,,14.094569,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-26 02:48:00.000,26adc8a0-a869-4e85-a56e-0b42090abfaa,
62900571,2025-01-26 21:07:00.000,,090c5884-abbf-4b0e-a7af-2e235ad67a4c.binning_data.json,62900571,13.727751,13.752021,2025-01-27 04:04:07.417,2025-01-27 04:04:07.417,,14.142625,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-27 03:57:00.000,090c5884-abbf-4b0e-a7af-2e235ad67a4c,
62900571,2025-01-27 22:41:00.000,,82309461-3244-4fc3-ba1f-ea1d9647c0d5.binning_data.json,62900571,13.874944,13.751342,2025-01-28 03:09:06.407,2025-01-28 03:09:06.407,,14.180257,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-28 03:04:00.000,82309461-3244-4fc3-ba1f-ea1d9647c0d5,
62900571,2025-01-28 19:47:00.000,,2afd46df-14e5-4275-a6d9-7af0f8771b2b.binning_data.json,62900571,13.601241,13.786514,2025-01-29 02:48:03.224,2025-01-29 02:48:03.224,,14.220583,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-29 02:22:00.000,2afd46df-14e5-4275-a6d9-7af0f8771b2b,
62900571,2025-01-29 20:29:00.000,,2438ce55-9ec2-447d-a319-3d287caf5892.binning_data.json,62900571,13.844693,13.842,2025-01-30 03:30:45.110,2025-01-30 03:30:45.110,,14.332978,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-30 03:11:00.000,2438ce55-9ec2-447d-a319-3d287caf5892,
62900571,2025-01-30 19:47:00.000,,cad0c02b-08f4-4460-be20-5e0643adea5f.binning_data.json,62900571,13.873562,13.835641,2025-01-31 03:17:11.966,2025-01-31 03:17:11.966,,14.138551,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-31 03:10:00.000,cad0c02b-08f4-4460-be20-5e0643adea5f,
62900571,2025-01-30 19:47:00.000,,76eded74-3a6f-4b0a-a8e6-e19267f997b8.binning_data.json,62900571,13.218771,13.595838,2025-01-31 19:40:20.291,2025-01-31 19:40:20.291,,14.370755,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-31 03:10:00.000,76eded74-3a6f-4b0a-a8e6-e19267f997b8,
62900571,2025-02-01 20:43:00.000,,bd7d1eee-e71e-4a1e-8223-f172c1bed868.binning_data.json,62900571,15.201187,13.630693,2025-02-02 04:04:09.653,2025-02-02 04:04:09.653,,14.732822,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-02 04:04:00.000,bd7d1eee-e71e-4a1e-8223-f172c1bed868,
62900571,2025-02-03 02:46:00.000,,fb9b917f-7c54-4072-8c87-7859b0afff8d.binning_data.json,62900571,14.59729,13.715244,2025-02-03 05:26:33.475,2025-02-03 05:26:33.475,,14.332136,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-03 05:02:00.000,fb9b917f-7c54-4072-8c87-7859b0afff8d,
62900571,2025-02-03 19:56:00.000,,99102cf2-7c32-41b1-a69d-64180ffb00b3.binning_data.json,62900571,13.563419,13.685038,2025-02-04 03:46:37.816,2025-02-04 03:46:37.816,,14.148462,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-04 03:46:00.000,99102cf2-7c32-41b1-a69d-64180ffb00b3,
62900571,2025-02-04 19:26:00.000,,6d15fd6d-c310-40c7-8ff7-fe88c17e43eb.binning_data.json,62900571,14.968039,13.679168,2025-02-05 02:20:44.316,2025-02-05 02:20:44.316,,14.584161,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-05 02:20:00.000,6d15fd6d-c310-40c7-8ff7-fe88c17e43eb,
62800471,2024-12-09 20:26:00.000,,8a396492-61f5-41ca-a713-d1f6f99819f0.binning_data.json,62800471,13.765522,0.0,2024-12-10 03:44:19.127,2024-12-10 03:44:19.127,,0.0,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-10 03:39:00.000,8a396492-61f5-41ca-a713-d1f6f99819f0,
62800471,2024-12-11 18:47:00.000,,e18f0e2b-cb92-4bf1-a97d-2d4f68c5900f.binning_data.json,62800471,14.121078,0.0,2024-12-12 03:48:41.708,2024-12-12 03:48:41.708,,0.0,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-12 03:48:00.000,e18f0e2b-cb92-4bf1-a97d-2d4f68c5900f,
62800471,2024-12-12 21:18:00.000,,ecd28b33-a877-47de-b783-92e73fa4e5ed.binning_data.json,62800471,14.515924,13.650829,2024-12-13 00:18:47.157,2024-12-13 00:18:47.157,,14.446363,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-13 00:08:00.000,ecd28b33-a877-47de-b783-92e73fa4e5ed,
62800471,2024-12-13 13:50:00.000,,d497fe87-aded-48d3-bd5d-91d209f97d9d.binning_data.json,62800471,14.99408,13.32187,2024-12-13 15:22:43.179,2024-12-13 15:22:43.179,,14.759072,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-13 15:22:00.000,d497fe87-aded-48d3-bd5d-91d209f97d9d,
62800471,2024-12-13 20:47:00.000,,9e18b165-deab-41f1-8c9c-0146ee35d170.binning_data.json,62800471,14.278678,13.797087,2024-12-14 04:16:37.667,2024-12-14 04:16:37.667,,14.334312,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-14 03:46:00.000,9e18b165-deab-41f1-8c9c-0146ee35d170,
62800471,2024-12-14 19:29:00.000,,55be1a5f-e411-4e84-a3c0-ad9d3723432e.binning_data.json,62800471,13.637957,13.619582,2024-12-15 04:45:07.104,2024-12-15 04:45:07.104,,14.267777,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-15 04:14:00.000,55be1a5f-e411-4e84-a3c0-ad9d3723432e,
62800471,2024-12-15 19:48:00.000,,5b9d065b-354e-4394-a036-5d9328780341.binning_data.json,62800471,14.261996,13.672311,2024-12-16 03:24:23.720,2024-12-16 03:24:23.720,,14.330747,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-16 03:07:00.000,5b9d065b-354e-4394-a036-5d9328780341,
62800471,2024-12-16 20:14:00.000,,85df501b-adc3-4e9a-82b9-7b00c9853226.binning_data.json,62800471,14.751765,13.602184,2024-12-17 00:17:06.507,2024-12-17 00:17:06.507,,14.531807,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-17 00:11:00.000,85df501b-adc3-4e9a-82b9-7b00c9853226,
62800471,2024-12-17 01:22:00.000,,0a162d1b-751d-47ab-9498-9dfd0144c0e2.binning_data.json,62800471,15.001971,13.44528,2024-12-17 03:00:11.862,2024-12-17 03:00:11.862,,14.608166,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-17 03:00:00.000,0a162d1b-751d-47ab-9498-9dfd0144c0e2,
62800471,2024-12-17 19:04:00.000,,b3ce77cd-23f3-4d0c-beab-23e5ea259549.binning_data.json,62800471,14.063533,13.710895,2024-12-18 03:29:29.227,2024-12-18 03:29:29.227,,14.313664,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-18 03:24:00.000,b3ce77cd-23f3-4d0c-beab-23e5ea259549,
62800471,2024-12-18 19:06:00.000,,51d608a3-06ae-4d47-9396-f7c4be0ca39c.binning_data.json,62800471,13.776497,13.68402,2024-12-19 02:17:58.794,2024-12-19 02:17:58.794,,14.281501,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-19 02:17:00.000,51d608a3-06ae-4d47-9396-f7c4be0ca39c,
62800471,2024-12-19 19:36:00.000,,231b8df3-9847-4748-ac10-c482cc65b7f2.binning_data.json,62800471,13.933481,13.696502,2024-12-20 03:29:05.622,2024-12-20 03:29:05.622,,14.257094,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-20 03:22:00.000,231b8df3-9847-4748-ac10-c482cc65b7f2,
62800471,2024-12-20 20:34:00.000,,e5ee9cfe-4339-40ee-aa41-c42ac0b73e5d.binning_data.json,62800471,15.012366,13.552166,2024-12-21 01:02:56.134,2024-12-21 01:02:56.134,,14.529608,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-21 00:57:00.000,e5ee9cfe-4339-40ee-aa41-c42ac0b73e5d,
62800471,2024-12-21 17:28:00.000,,14b0ae51-4e59-4557-a63b-feca27e63b79.binning_data.json,62800471,14.204373,13.717503,2024-12-21 23:31:15.597,2024-12-21 23:31:15.597,,14.275057,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-21 23:31:00.000,14b0ae51-4e59-4557-a63b-feca27e63b79,
62800471,2024-12-22 19:45:00.000,,21c92e01-9962-4871-8796-9331acfafabb.binning_data.json,62800471,14.475418,13.693699,2024-12-22 22:51:46.910,2024-12-22 22:51:46.910,,14.335979,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-22 22:46:00.000,21c92e01-9962-4871-8796-9331acfafabb,
62800471,2024-12-25 21:17:00.000,,2aa2d154-1bf5-4e3c-b661-65ae8bbf6418.binning_data.json,62800471,13.934658,13.726279,2024-12-26 02:35:59.579,2024-12-26 02:35:59.579,,14.257646,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-26 02:35:00.000,2aa2d154-1bf5-4e3c-b661-65ae8bbf6418,
62800471,2024-12-27 17:47:00.000,,283ceafa-16a6-4de0-a33d-56b06dc356d6.binning_data.json,62800471,12.904177,13.448085,2024-12-27 23:25:32.133,2024-12-27 23:25:32.133,,14.384145,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-27 23:24:00.000,283ceafa-16a6-4de0-a33d-56b06dc356d6,
62800471,2024-12-27 23:42:00.000,,e2394e9a-14cc-4d7a-a735-091ecbf4be0e.binning_data.json,62800471,15.301746,13.445256,2024-12-28 00:24:42.645,2024-12-28 00:24:42.645,,14.550797,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-28 00:17:00.000,e2394e9a-14cc-4d7a-a735-091ecbf4be0e,
62800471,2024-12-28 18:03:00.000,,474cd150-e177-40fa-8777-2e7c68f8465f.binning_data.json,62800471,13.504491,13.627538,2024-12-29 03:36:58.139,2024-12-29 03:36:58.139,,14.246984,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-29 03:31:00.000,474cd150-e177-40fa-8777-2e7c68f8465f,
62800471,2024-12-30 20:15:00.000,,ed9abc7b-f1a0-4d14-b5fc-3091f1748287.binning_data.json,62800471,13.736448,13.61958,2024-12-31 03:05:40.178,2024-12-31 03:05:40.178,,14.267776,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2024-12-31 03:00:00.000,ed9abc7b-f1a0-4d14-b5fc-3091f1748287,
62800471,2024-12-31 19:57:00.000,,c3dbb069-335f-4eae-b415-7d3cc173e398.binning_data.json,62800471,14.030586,13.672311,2025-01-01 02:52:04.635,2025-01-01 02:52:04.635,,14.330747,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-01 02:51:00.000,c3dbb069-335f-4eae-b415-7d3cc173e398,
62800471,2025-01-01 20:41:00.000,,62f42a60-dcfd-4ed0-8c36-b99357bdf945.binning_data.json,62800471,13.768304,13.710895,2025-01-02 04:55:01.277,2025-01-02 04:55:01.277,,14.313664,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-02 04:27:00.000,62f42a60-dcfd-4ed0-8c36-b99357bdf945,
62800471,2025-01-02 18:16:00.000,,29b39aca-d602-4aef-95c6-e7d464a4b83c.binning_data.json,62800471,14.087414,13.68402,2025-01-03 02:29:59.035,2025-01-03 02:29:59.035,,14.281501,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-03 02:24:00.000,29b39aca-d602-4aef-95c6-e7d464a4b83c,
62800471,2025-01-03 22:30:00.000,,4addc3b1-7c15-44e7-992c-c3bad71a136d.binning_data.json,62800471,13.749739,13.68402,2025-01-04 00:02:26.812,2025-01-04 00:02:26.812,,14.281501,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-03 23:32:00.000,4addc3b1-7c15-44e7-992c-c3bad71a136d,
62800471,2025-01-04 00:04:00.000,,7270eca0-2207-4a8a-a2c0-5bc2250394d2.binning_data.json,62800471,15.592401,13.68402,2025-01-04 00:54:43.923,2025-01-04 00:54:43.923,,14.281501,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-04 00:29:00.000,7270eca0-2207-4a8a-a2c0-5bc2250394d2,
62900571,2025-02-05 22:57:00.000,,8ed41b75-0f4a-4d8c-92ae-540d5685ecf9.binning_data.json,62900571,12.8147545,13.306441,2025-02-06 04:35:31.133,2025-02-06 04:35:31.133,,14.368768,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-06 04:14:00.000,8ed41b75-0f4a-4d8c-92ae-540d5685ecf9,
62900571,2025-02-06 20:31:00.000,,5bcd40ea-03f7-40ac-871b-0553d1ad6461.binning_data.json,62900571,15.060038,13.542137,2025-02-06 22:59:53.686,2025-02-06 22:59:53.686,,14.550396,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-06 22:33:00.000,5bcd40ea-03f7-40ac-871b-0553d1ad6461,
62900571,2025-02-06 22:51:00.000,,f3465d4f-67d3-462c-b6ac-966f20a48c23.binning_data.json,62900571,13.836488,13.81345,2025-02-07 04:32:47.886,2025-02-07 04:32:47.886,,14.122541,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-07 04:32:00.000,f3465d4f-67d3-462c-b6ac-966f20a48c23,
62900571,2025-02-07 19:56:00.000,,1de971e4-3f90-4811-9293-f4f10fbc8c56.binning_data.json,62900571,13.957629,13.8221855,2025-02-08 02:03:29.108,2025-02-08 02:03:29.108,,14.111336,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-08 02:03:00.000,1de971e4-3f90-4811-9293-f4f10fbc8c56,
62900571,2025-02-08 02:10:00.000,,eba61c18-be70-4b3d-8b91-55e6e4a8f419.binning_data.json,62900571,13.727331,13.778911,2025-02-08 04:53:25.067,2025-02-08 04:53:25.067,,14.131682,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-08 04:53:00.000,eba61c18-be70-4b3d-8b91-55e6e4a8f419,
62900571,2025-02-08 23:52:00.000,,d8b50ce8-0554-4ede-8b6d-34e98db3f868.binning_data.json,62900571,14.482417,13.750233,2025-02-09 05:46:37.045,2025-02-09 05:46:37.045,,14.265919,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-09 05:18:00.000,d8b50ce8-0554-4ede-8b6d-34e98db3f868,
62900571,2025-02-09 11:50:00.000,,9e9a259d-c3f0-4320-895e-102c496bd6c4.binning_data.json,62900571,15.494507,13.301962,2025-02-09 13:20:13.823,2025-02-09 13:20:13.823,,14.665535,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-09 12:55:00.000,9e9a259d-c3f0-4320-895e-102c496bd6c4,
62900571,2025-02-09 21:18:00.000,,ef5f9db9-c46f-4f2a-8733-dec6db827842.binning_data.json,62900571,14.282679,13.764004,2025-02-10 02:22:42.897,2025-02-10 02:22:42.897,,14.147722,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-10 02:13:00.000,ef5f9db9-c46f-4f2a-8733-dec6db827842,
62900571,2025-02-11 22:09:00.000,,b7f93b1f-bdbe-4844-b24f-ae15ef6d25ab.binning_data.json,62900571,13.913545,13.807886,2025-02-12 03:02:47.721,2025-02-12 03:02:47.721,,14.013006,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-12 02:56:00.000,b7f93b1f-bdbe-4844-b24f-ae15ef6d25ab,
62900571,2025-02-12 19:47:00.000,,030ab27e-8c36-40e8-8784-31ac02ecb552.binning_data.json,62900571,13.654174,13.732078,2025-02-13 02:10:43.240,2025-02-13 02:10:43.240,,14.019727,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-13 02:07:00.000,030ab27e-8c36-40e8-8784-31ac02ecb552,
62900571,2025-02-13 19:23:00.000,,7d374860-2906-4713-b9b9-74d599f0d090.binning_data.json,62900571,13.783083,13.781559,2025-02-14 02:33:15.335,2025-02-14 02:33:15.335,,14.001774,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-14 02:33:00.000,7d374860-2906-4713-b9b9-74d599f0d090,
62900571,2025-02-15 21:21:00.000,,dd587fc0-014f-41d7-a65c-7a572f56f085.binning_data.json,62900571,14.619483,13.791686,2025-02-16 03:21:32.226,2025-02-16 03:21:32.226,,14.038871,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-16 03:12:00.000,dd587fc0-014f-41d7-a65c-7a572f56f085,
62910031,2025-02-17 19:11:00.000,,47eb19a5-ff38-4b18-9161-95241bf022db.binning_data.json,62910031,13.881659,13.791686,2025-02-18 04:08:46.895,2025-02-18 04:08:46.895,,14.038871,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-18 03:49:00.000,47eb19a5-ff38-4b18-9161-95241bf022db,
62910031,2025-02-18 20:57:00.000,,5595367a-671b-4855-841a-ba4eb9ab4b3e.binning_data.json,62910031,13.844976,13.791686,2025-02-19 02:34:08.847,2025-02-19 02:34:08.847,,14.038871,,0,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-19 02:28:00.000,5595367a-671b-4855-841a-ba4eb9ab4b3e,
62910031,2025-02-19 19:17:00.000,,f3a01ac0-6704-451a-bcfa-738c75413949.binning_data.json,62910031,14.108876,13.791686,2025-02-20 02:14:19.076,2025-02-20 02:14:19.076,,14.038871,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-20 01:49:00.000,f3a01ac0-6704-451a-bcfa-738c75413949,
62910031,2025-02-20 19:48:00.000,,f8d1e3b4-8b75-4dcf-995f-ac8402eb4363.binning_data.json,62910031,13.440644,13.845688,2025-02-21 03:04:53.514,2025-02-21 03:04:53.514,,13.880684,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-21 02:45:00.000,f8d1e3b4-8b75-4dcf-995f-ac8402eb4363,
62910031,2025-02-21 21:18:00.000,,d617c5bf-6d8f-402d-bb9f-756814075b91.binning_data.json,62910031,13.925177,13.845688,2025-02-21 23:28:48.070,2025-02-21 23:28:48.070,,13.880684,,1,1.01.04,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-21 23:23:00.000,d617c5bf-6d8f-402d-bb9f-756814075b91,
