com.samsung.shealth.program.sleep_coaching.mission,6302031,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
,["SP_SVY1_ANS_06"],,,2022-04-02 06:09:37.362,2022-03-22 04:10:30.870,1,10,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,640913e2-cd45-49c7-8793-2ccca8a3dce6,1,
,null,,,2022-04-02 06:09:46.862,2022-03-22 04:10:30.870,1,10,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,d717c093-0294-48c8-8453-e76973c51ff6,1,
,null,,,2022-04-02 06:09:41.669,2022-03-22 04:10:30.870,1,10,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,ef96f88e-dc62-47f7-9734-db2da604ae2d,1,
,null,,,2022-04-02 06:09:50.409,2022-03-22 04:10:30.870,1,10,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,6fe69a97-038f-418c-bbdb-08cfcb9c71de,1,
,null,,,2022-04-03 19:22:11.206,2022-03-22 04:10:30.871,1,11,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,927c9b99-0a7e-4362-b525-3f4ed5953944,1,
,null,,,2022-04-03 19:22:49.795,2022-03-22 04:10:30.872,1,13,SP_MSN_15,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,e956830d-cbd9-40fc-a5ad-bd1fb24adaea,1,
,null,,,2022-04-03 19:22:32.291,2022-03-22 04:10:30.871,1,12,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,eec402ae-22de-4dce-9d61-df5d45b64b82,1,
,null,,,2022-04-03 19:22:58.863,2022-03-22 04:10:30.872,1,13,SP_MSN_18,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,c69e7e9d-54a4-47a6-b940-daa323d6e7c1,1,
,["SP_SVY1_ANS_06"],,,2022-04-03 19:22:23.151,2022-03-22 04:10:30.871,1,12,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,066f02d5-aa97-454c-b7c7-4d7bbe2b90bd,1,
,null,,,2022-04-03 19:22:26.016,2022-03-22 04:10:30.871,1,12,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,6d56b8da-6377-4568-b512-c174d950e9e7,1,
