com.samsung.shealth.food_favorite,6302031,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2024-08-05 18:05:00.862,2024-08-05 18:05:00.862,2cfc9a68-7630-4b10-b077-39ea62907c0a,,2cfc9a68-7630-4b10-b077-39ea62907c0a,0.0,EmOHuC/o0o,com.sec.android.app.shealth,e7e382cb-4f89-4e01-9236-f0cb3e822dea,6ef7ef4c-2442-48ca-a18b-465b58c17385,
0.0,2,2024-08-05 17:58:50.784,2024-08-05 17:58:50.784,e8bd4562-1432-4f35-be7a-0dc09470fe23,,e8bd4562-1432-4f35-be7a-0dc09470fe23,0.0,EmOHuC/o0o,com.sec.android.app.shealth,1ff5d00b-27ae-4cc0-a1ae-0b3396aba5e1,a75c8782-eaa8-4b64-80f6-2f14087d31cf,
0.0,2,2024-08-05 18:05:00.862,2024-08-05 18:05:00.862,2cfc9a68-7630-4b10-b077-39ea62907c0a,,2cfc9a68-7630-4b10-b077-39ea62907c0a,0.0,EmOHuC/o0o,com.sec.android.app.shealth,55591ee9-2aff-4fe2-8a3a-8e86e3a63388,e8733fec-8c8b-4a2f-9575-a9423da8d810,
0.0,2,2024-08-05 17:59:29.639,2024-08-05 17:59:29.639,e2ea0877-4cf1-4f4f-b118-4b82a927f12d,,e2ea0877-4cf1-4f4f-b118-4b82a927f12d,0.0,EmOHuC/o0o,com.sec.android.app.shealth,a6a4cf01-cb77-4014-a760-e3767d0fdbec,6ef7ef4c-2442-48ca-a18b-465b58c17385,
0.0,2,2024-08-05 18:01:02.410,2024-08-05 18:01:02.410,17c5f5ef-8e76-457f-a484-5d91390f15bc,,17c5f5ef-8e76-457f-a484-5d91390f15bc,0.0,EmOHuC/o0o,com.sec.android.app.shealth,91d21d36-0bcc-4901-af3b-bece53b258f5,a75c8782-eaa8-4b64-80f6-2f14087d31cf,
0.0,2,2024-08-05 18:05:00.862,2024-08-05 18:05:00.862,2cfc9a68-7630-4b10-b077-39ea62907c0a,,2cfc9a68-7630-4b10-b077-39ea62907c0a,0.0,EmOHuC/o0o,com.sec.android.app.shealth,789794aa-c7aa-4bc3-9fbb-27033bb85dd6,7aaa7576-256b-4e1d-8441-de4f6b2e9c91,
0.0,2,2024-08-05 18:00:23.769,2024-08-05 18:00:23.769,7942f71d-3e23-40f1-af09-36360e121bf2,,7942f71d-3e23-40f1-af09-36360e121bf2,0.0,EmOHuC/o0o,com.sec.android.app.shealth,5cd99490-7ba1-4393-b9b3-1cb8c72becd2,824d9232-743e-4e68-a44a-9a556eb815eb,
0.0,2,2024-08-05 18:01:02.410,2024-08-05 18:01:02.410,17c5f5ef-8e76-457f-a484-5d91390f15bc,,17c5f5ef-8e76-457f-a484-5d91390f15bc,0.0,EmOHuC/o0o,com.sec.android.app.shealth,3f1dd43e-8eb4-42a3-acc5-ebee52cf202d,49569d06-432e-46cb-81ac-fe16021d35ad,
0.0,2,2024-08-05 18:05:00.862,2024-08-05 18:05:00.862,2cfc9a68-7630-4b10-b077-39ea62907c0a,,2cfc9a68-7630-4b10-b077-39ea62907c0a,0.0,EmOHuC/o0o,com.sec.android.app.shealth,ce682308-2cde-436a-873d-4123d0b4e803,49569d06-432e-46cb-81ac-fe16021d35ad,
0.0,2,2024-08-05 18:00:08.232,2024-08-05 18:00:08.232,751c717e-69bb-48d3-bc2a-1db98e894d52,,751c717e-69bb-48d3-bc2a-1db98e894d52,0.0,EmOHuC/o0o,com.sec.android.app.shealth,e3571076-2b93-4605-a803-cce7853c4ea6,824d9232-743e-4e68-a44a-9a556eb815eb,
