com.samsung.shealth.step_daily_trend,6302031,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
a9d6e4e9-a7a3-46b5-97f2-9e4e6b66502b.binning_data.json,2022-03-21 17:49:32.382,2022-03-21 17:49:32.382,com.sec.android.app.shealth,0,2622,1.3405672,1993.2599,109.6105,EmOHuC/o0o,com.sec.android.app.shealth,a9d6e4e9-a7a3-46b5-97f2-9e4e6b66502b,1641600000000,
32bf4f1e-ecc0-45d1-bde2-c7d3abfe700e.binning_data.json,2022-03-21 17:49:32.401,2022-03-21 17:49:32.401,com.sec.android.app.shealth,-2,3938,1.3527131,3021.9219,167.22568,VfS0qUERdZ,com.sec.android.app.shealth,32bf4f1e-ecc0-45d1-bde2-c7d3abfe700e,1633910400000,
d85a3539-fd04-4059-ba1b-22691d7db294.binning_data.json,2022-03-21 17:49:32.404,2022-03-21 17:49:32.404,com.sec.android.app.shealth,-2,3515,1.4295294,2743.5352,151.18376,VfS0qUERdZ,com.sec.android.app.shealth,d85a3539-fd04-4059-ba1b-22691d7db294,1635379200000,
836abf74-e0cf-466f-af50-65cd40f884ed.binning_data.json,2022-03-21 17:49:32.381,2022-03-21 17:49:32.381,com.sec.android.app.shealth,0,1994,1.2548475,1513.0127,83.62103,EmOHuC/o0o,com.sec.android.app.shealth,836abf74-e0cf-466f-af50-65cd40f884ed,1641427200000,
359e7716-7ca9-4d20-a932-c7ea0ed31715.binning_data.json,2022-03-21 17:49:32.388,2022-03-21 17:49:32.388,com.sec.android.app.shealth,0,1154,1.3406906,880.8478,48.028175,EmOHuC/o0o,com.sec.android.app.shealth,359e7716-7ca9-4d20-a932-c7ea0ed31715,1643932800000,
5d006574-60b5-4088-9e84-1be5efd893a6.binning_data.json,2022-03-21 17:49:32.381,2022-03-21 17:49:32.381,com.sec.android.app.shealth,0,2459,1.3281842,1885.8568,102.9587,EmOHuC/o0o,com.sec.android.app.shealth,5d006574-60b5-4088-9e84-1be5efd893a6,1641340800000,
67eadb2a-c9d8-48b0-80f6-7f0eefd1f6c9.binning_data.json,2022-03-21 17:49:32.401,2022-03-21 17:49:32.401,com.sec.android.app.shealth,-2,3996,1.4104897,3143.6626,171.83734,VfS0qUERdZ,com.sec.android.app.shealth,67eadb2a-c9d8-48b0-80f6-7f0eefd1f6c9,1634083200000,
69bcb6ad-d6b2-42e2-9744-066c62e7293b.binning_data.json,2022-03-21 17:49:32.412,2022-03-21 17:49:32.412,com.sec.android.app.shealth,-2,6081,1.4725152,4607.9272,238.22375,VfS0qUERdZ,com.sec.android.app.shealth,69bcb6ad-d6b2-42e2-9744-066c62e7293b,1639872000000,
f60e7fd5-2f0b-4e81-8158-d1701c444ebe.binning_data.json,2022-03-21 17:49:32.366,2022-03-21 17:49:32.366,com.sec.android.app.shealth,0,1456,1.3727603,1100.9678,59.374634,EmOHuC/o0o,com.sec.android.app.shealth,f60e7fd5-2f0b-4e81-8158-d1701c444ebe,1638144000000,
60e58f2d-64aa-469c-a090-5566caee6927.binning_data.json,2022-03-21 17:49:32.401,2022-03-21 17:49:32.401,com.sec.android.app.shealth,0,8,1.4797208,6.2109375,0.32910156,EmOHuC/o0o,com.sec.android.app.shealth,60e58f2d-64aa-469c-a090-5566caee6927,1647820800000,
01662f1d-2f94-41f5-aec7-02aaf72acedc.binning_data.json,2022-03-21 17:49:32.380,2022-03-21 17:49:32.380,com.sec.android.app.shealth,0,4461,1.4695517,3375.6387,186.66193,EmOHuC/o0o,com.sec.android.app.shealth,01662f1d-2f94-41f5-aec7-02aaf72acedc,1640995200000,
