com.samsung.shealth.social.public_challenge.leaderboard,6302031,1
update_time,create_time,body,pcid,type,deviceuuid,pkg_name,last_sync_time,datauuid
2025-04-24 15:43:52.829,2025-04-24 15:43:52.829,5a51a683-98df-4fad-b5d2-be686553d70a.body.json,25040005,1,3QItrwNcp5,com.sec.android.app.shealth,1745509432815,5a51a683-98df-4fad-b5d2-be686553d70a,
2025-04-24 15:43:52.847,2025-04-24 15:43:52.847,b333e2df-1127-4cd7-b44b-621e1dfc59a7.body.json,25040005,0,3QItrwNcp5,com.sec.android.app.shealth,1745509432835,b333e2df-1127-4cd7-b44b-621e1dfc59a7,
2025-07-08 23:51:37.844,2025-07-08 23:51:37.844,53ca67bb-812c-407d-948e-532b8ef3030a.body.json,25070001,0,3QItrwNcp5,com.sec.android.app.shealth,1752018697831,53ca67bb-812c-407d-948e-532b8ef3030a,
2025-07-08 23:51:37.933,2025-07-08 23:51:37.933,e0ec5cfb-3f67-4220-909f-bdb6451c7f8a.body.json,25070001,1,3QItrwNcp5,com.sec.android.app.shealth,1752018697920,e0ec5cfb-3f67-4220-909f-bdb6451c7f8a,
