com.samsung.shealth.rewards,6302031,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-12-31 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8173}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-31 18:30:00.000,7fe1e352-0e15-4718-a8ed-7e888fc23c9b,1,
1202,,11007,,346a43ff-014e-498b-a1e3-0f970633edb0,2022-03-21 17:49:32.744,2021-10-27 03:06:09.612,,,1202,UTC+0530,3.9331834,BpIW3aQ9BJ,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2021-10-27 03:05:59.327,be53f315-2ce2-4cf9-99ef-ba2a706eb532,0,
,2021-10-16 18:30:00.000,,10299999,,2022-03-21 17:49:32.498,2022-03-21 17:49:32.498,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":7812}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-10-16 18:30:00.000,9eaa4a8a-b4f5-4b64-9602-641cc9618dd6,1,
,2021-10-24 18:30:00.000,,10299999,,2022-03-21 17:49:32.498,2022-03-21 17:49:32.498,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8676}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-10-24 18:30:00.000,8ec68bef-8b41-40f9-b44b-375b7633cba0,1,
,2021-12-08 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":10020}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-08 18:30:00.000,58a0a597-4cb5-4749-962e-55d0bf1304e7,1,
,2021-11-08 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":6377}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-11-08 18:30:00.000,7317d96a-1996-4f09-8a56-77c5a5351f7a,1,
,2021-12-17 18:30:00.000,,10299999,,2022-03-21 17:49:32.501,2022-03-21 17:49:32.501,,,tracker_pedometer_reward_most_walking_day,UTC+0530,"{""mTarget"":-1,""mValue"":20283}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-17 18:30:00.000,73e91757-9980-4b80-998d-3234878a5998,1,
,2022-01-09 18:30:00.000,,10009,,2022-03-21 17:49:32.494,2022-03-21 17:49:32.494,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":6382}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-01-09 18:30:00.000,522c0c4c-c745-41e2-a918-003c037a83e1,1,
1200,,11007,,9394d662-8eb9-40df-8163-98ec68350713,2022-03-21 17:49:32.736,2022-03-21 17:49:32.683,,,1200,UTC+0530,3914.229,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-11-02 15:28:38.656,b42f30e6-4db9-46e9-aad3-f137ed5fe328,0,
,2021-12-06 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":11162}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-06 18:30:00.000,7c92be57-82ba-40a2-a601-dc297943aa73,1,
