com.samsung.shealth.food_frequent,6302031,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.0,2024-08-13 09:24:26.260,2024-08-13 09:24:26.260,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,64e9f445-1baf-4fba-aafb-9abe20377761,636bbac5-48f0-492c-bac6-bb6391cd1e94,1.0,
0.0,2024-08-13 09:24:26.314,2024-08-13 09:24:26.314,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,6b775b0f-4520-4013-a373-24cbc7675fa1,946be19b-16cb-4907-b4b3-607f8c51db2d,1.0,
0.0,2024-08-13 06:45:40.765,2024-08-06 03:48:16.915,1.0,0.0,3.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,2dead287-767b-49dc-8c02-662db62ecf26,2fd6390e-f4fd-4e49-b1cb-be5a2032c086,0.0,
0.0,2025-03-07 16:39:41.658,2024-08-13 06:35:39.573,1.0,1.0,0.0,3QItrwNcp5,com.sec.android.app.shealth,0.0,c631d349-db30-46a1-90b2-4336b56897ca,e5dd2040-cf43-4afa-bcb5-6abe53d6bd03,1.0,
0.0,2025-03-05 14:28:15.861,2024-08-13 09:24:26.272,0.0,0.0,0.0,3QItrwNcp5,com.sec.android.app.shealth,0.0,d3060a60-b0fd-4724-9bff-69ab3768c164,3f354db3-a2e6-421c-b17e-116be3b46247,2.0,
0.0,2024-08-13 09:24:26.304,2024-08-13 09:24:26.304,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,0506453a-e1fb-4c6e-8cb0-8d9a5b965ef0,f956b177-5190-4774-b8b5-27730a807a2b,1.0,
2.0,2024-08-14 15:29:05.964,2024-08-08 17:46:06.862,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,10c38c95-3ac2-4ac2-af4d-f7e60516db77,62db73cc-7333-462d-825f-2f28b424a9bb,0.0,
0.0,2024-08-14 16:43:30.830,2024-08-14 16:43:30.830,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,3b521d07-08ff-4a7d-846e-69324ea24a4d,e94c95f8-fbcb-4adc-872e-ed3e745bee2d,0.0,
0.0,2024-08-19 10:46:54.337,2024-08-19 10:46:54.337,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,9276a2d4-8c57-4acb-ac13-7f1a7cf2c813,7527bab9-cafe-41fe-abe8-0a5001e3621e,1.0,
0.0,2024-08-19 10:46:54.353,2024-08-19 10:46:54.353,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,acd36198-f4d0-4696-b1c4-8d89ddc545e4,be0ba394-b3fc-450f-b89d-534d0a606462,1.0,
0.0,2024-08-19 10:48:14.459,2024-08-19 10:48:14.459,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,1.0,ad47bfd3-4c15-43b1-a187-7ab5582ae858,7afe28d0-ac18-47a6-8564-3d90b03b15de,0.0,
0.0,2024-08-20 20:17:45.807,2024-08-20 20:13:21.948,0.0,2.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,1f12fd34-d90b-4c3f-be2e-c91494d28862,e526f388-be47-4f20-845b-e0e533072b76,0.0,
0.0,2024-08-20 20:18:45.498,2024-08-20 20:18:45.498,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,befabf83-a5fb-4b51-9b9e-f455235a4cb8,2ac3acbd-e35d-40e6-8fa0-898be36001be,0.0,
1.0,2024-08-21 03:52:06.165,2024-08-21 03:52:06.165,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,6285e53c-0440-492a-8cc0-d9d7ea3b9251,9d1bcce2-3371-49e9-8f24-2b580df42591,0.0,
0.0,2024-08-20 20:17:45.817,2024-08-20 20:13:21.961,0.0,2.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,045f8f7c-2547-4a58-b4c1-04a1f174b608,e65a9027-240a-499b-aafc-85ac505919c6,0.0,
0.0,2024-08-21 17:55:43.244,2024-08-21 17:55:43.244,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,f2d0eb94-220f-49d0-82b7-c1a373d6c57e,2d2dde21-83dc-4c1a-be07-9d10a07d73d9,0.0,
0.0,2024-08-21 17:55:43.252,2024-08-21 17:55:43.252,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,7d59132b-af22-4e79-9581-4d85281e673f,95bcf6e5-f661-42d9-9232-aa311372cf32,0.0,
1.0,2024-08-21 17:51:24.297,2024-08-21 17:51:24.297,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,88a7e4f9-419e-4af5-a138-da4b1f83c54d,5c6757f3-c026-472c-a215-2e44ef5195ab,0.0,
1.0,2024-08-23 05:35:34.312,2024-08-21 17:51:24.307,1.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,14cabe0c-fc75-4ea8-b332-e9e43112922b,f0e4a31e-1c4c-4791-9f75-bb2dede027b0,0.0,
1.0,2024-08-23 05:46:21.012,2024-08-23 05:46:21.012,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,73dbdbd0-888a-44f4-b47c-727f9c909a15,3134ff1a-e017-4ff5-9527-51d76deaaf41,0.0,
0.0,2024-08-29 04:04:10.127,2024-08-29 04:04:10.127,0.0,0.0,1.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,ec997e7d-41ad-48b8-8dac-6bc90b7cae20,109f00bd-85e7-4506-a19f-91f0323f3a99,0.0,
0.0,2024-09-01 04:16:20.955,2024-09-01 04:16:20.955,1.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,c1a0b2ab-a637-4ea6-bd4b-8ddaa7ebb07e,0411d89c-ae69-43d0-92a3-da09ba39c030,0.0,
